Identification de l'installation/ Facility Identification,Nom du propriétaire/ Owner Name,Nom du système / System Name,Ville/ City,Province (Anglais)/ Province (English),Province (Français) / Province (French),Code postal/ Postal Code,Type de propriétaire (Anglais) / Owner Type (English),Type de propriétaire (Français)/ Owner Type (French),Type d'exploitant (Anglais)/ Operator Type (English),Type d'exploitant  (Français) / Operator Type (French),Volume journalier moyen de l'effluent (m3) / Average Daily Effluent Volume (m3),Méthode de calcul (Anglais) / Method of Calculation (English),Méthode de calcul  (Français)/ Method of Calculation (French),Description de la méthode de calcul/ Description of Calculation Method ,Indicateur - Utilisation de chlore (Anglais)/ Chlorine Use Indicator (English),Indicateur - Utilisation de chlore (Français) / Chlorine Use Indicator (French),Type du système (Anglais)/ System Type (English),Type du système (Français)/ System Type (French),Types de traitement (Anglais)/ Treatment Types (English),Types de traitement (Français)/ Treatment Types (French),Description des autres traitements / Other Treatment Description,Description du lieu de rejet (Anglais) / Discharge Place Description (English),Description du lieu de rejet (Français) / Discharge Place Description (French),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Anglais)/ Is the hydraulic retention time 5 days or more? (English),Le temps de rétention hydraulique est-il de 5 jours ou plus? (Français) / Is the hydraulic retention time 5 days or more? (French),Fréquence de reportage (Anglais)/ Reporting Frequency (English),Fréquence de reportage (Français) / Reporting Frequency (French),Périodes decalcul (Anglais)/ Averaging Period (English),Périodes de calcul (Français) / Averaging Period (French),Latitude/ Latitude,Longitude/ Longitude,Statut de Vérification du point (Anglais)/ Verification status of the point (English),Statut de Vérification du point (Français)/ Verification status of the point (French),Type de point (Anglais)/ Type of Point (English),Type de point (Français) / Type of Point (French),Nom de la masse d'eau fréquentée par les poissons/ Name of body of water frequented by fish,Nom de la masse d'eau au point d'entrée/ Name of the water at point of entry, Description de l'utilisation de l'eau (Anglais)/ Description of use of water (English),Description de l'utilisation de l'eau (Français)/ Description of use of water (French),Description des eaux fréquentées par les poisons (Anglais) / Description of water frequented by fish (English),Description des eaux fréquentées par les poisons (Français)/ Description of water frequented by fish (French),État du système (Anglais)/ System status (English),État du système (Français)/ System status (French)
14279.0,Capital Regional District,Saanich Peninsula Wastewater Treatment Plant,North Saanich,British Columbia,Colombie-Britannique,V8L5Z1,Other,Autre,Other,Autre,9000.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Primary Sedimentation/Clarification, Activated Sludge","Dégrillage, Sédimentation/clarification primaire, Boues activées",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,48.6242,-123.4105,Verified,Vérifié,Final Discharge Point,Point de rejet final,Haro Strait,Cordova Channel,Sport fishing,Pêche sportive,Open marine waters,Eaux libres en milieu marin,operational,opérationnel
23625.0,Capital Regional District,Schooner Way (Magic Lake #2) Wastewater Treatment Plant,Pender Island,British Columbia,Colombie-Britannique,V0N 2M2,Other,Autre,Other,Autre,210.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Extended Aeration Activated Sludge, Disinfection","Boues activées par aération prolongée, Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,48.768,-123.3048,Verified,Vérifié,Final Discharge Point,Point de rejet final,Swanson Channel,Swanson Channel,Sport fishing,Pêche sportive,Open marine waters,Eaux libres en milieu marin,operational,opérationnel
10573.0,City of Abbotsford,JAMES Pollution Control Center,Abbotsford,British Columbia,Colombie-Britannique,V4X3R2,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,53000.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Trickling Filter, Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Lit bactérien, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,49.1104,-122.3229,Verified,Vérifié,Final Discharge Point,Point de rejet final,Fraser River,Fraser river,Other recreational (e.g. boating),Autre contact récréatif (bateau),Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
10688.0,City of Campbell River,Norm Wood Environmental Centre,Campbell River,British Columbia,Colombie-Britannique,V9W4C7,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,14777.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Extended Aeration Activated Sludge, Oxidation Ditch","Dégrillage, Boues activées par aération prolongée, Chenal d'oxydation",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,50.056,-125.276,Verified,Vérifié,Final Discharge Point,Point de rejet final,Pacific ocean,Discovery Passage,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23952.0,City of Castlegar,North Lagoon,Castlegar,British Columbia,Colombie-Britannique,V1N 1G7,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2050.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,Lagoons - Aerated,Étangs aérés,,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Annually,Annuel,Annually,Annuel,49.3311,-117.6592,Verified,Vérifié,Final Discharge Point,Point de rejet final,Columbia River,Columbia River,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23951.0,City of Castlegar,SSTP,Castlegar,British Columbia,Colombie-Britannique,V1N 1G7,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,1750.0,Continuous measure of influent volume deposited via the final discharge point,Mesure en continu du volume d'affluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Extended Aeration Activated Sludge","Dessablage, Dégrillage, Boues activées par aération prolongée",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,49.2986,-117.6486,Verified,Vérifié,Final Discharge Point,Point de rejet final,columbia river,columbia river,Other,Autre,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
10416.0,City of Chilliwack,Wolfe Road WWTP,Chilliwack,British Columbia,Colombie-Britannique,V2P8A8,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,19594.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Trickling Filter, Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Lit bactérien, Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,49.1692,-121.9859,Verified,Vérifié,Final Discharge Point,Point de rejet final,Fraser River,Freshwater,Other recreational (e.g. boating),Autre contact récréatif (bateau),Watercourse with bulk flow ratio >=10 and <=100,Cours d'eau avec un coefficient de débit brut >=10 et <=100,operational,opérationnel
23557.0,City of Dawson Creek,Dawson Creek Waste Water Treatment Plant/Lagoon Treatment,Dawson Creek,British Columbia,Colombie-Britannique,V1G 3V7,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,4500.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Lagoons - Aerated, Lagoon - Aerobic, Lagoon - Anaerobic, Lagoon - Facultative, Storage Ponds, Other Treatment","Dégrillage, Étangs aérés, Étang aérobique, Étang anaérobique, Étang facultatif, Bassin de stockage, Autre","Part of the lagoon sewage treatment is our new Submerged Attached Growth Reactor which reduces TSS, BOD, and nitrification depending on climate conditions",Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Quarterly,Trimestriel,Quarterly,Trimestriel,55.7491,-120.1789,Verified,Vérifié,Final Discharge Point,Point de rejet final,Dawson Creek,Dawson Creek,Other,Autre,Natural wetland,Milieu humide naturel,operational,opérationnel
25801.0,City of Enderby,Enderby WWRP,Enderby,British Columbia,Colombie-Britannique,V0E1V0,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,2165.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Oxidation Ditch, Disinfection","Dessablage, Dégrillage, Chenal d'oxydation, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,50.5676,-119.1325,Estimated,Estimé,Final Discharge Point,Point de rejet final,Shuswap River,Shuswap River,Contact recreational (e.g. swimming),Contact récréatif (baignade),Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
23653.0,City of Fort St John,North Lagoons,Fort St John,British Columbia,Colombie-Britannique,V1J3Z5,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,4500.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Intermittent,Intermittent,"Lagoon - Anaerobic, Lagoon - Facultative, Lagoon - Non-aerated, Storage Ponds","Étang anaérobique, Étang facultatif, Étang non aéré, Bassin de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Non-applicable,Non applicable,Annually,Annuel,Annually,Annuel,56.269,-120.7719,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,Other,Autre,Other,Autre,operational,opérationnel
23652.0,City of Fort St John,South Lagoons,Fort St John,British Columbia,Colombie-Britannique,V1J3Z5,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,5500.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Lagoons - Aerated, Storage Ponds","Dessablage, Étangs aérés, Bassin de stockage",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,Yes,Oui,Quarterly,Trimestriel,Quarterly,Trimestriel,56.2133,-120.8263,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,Other,Autre,Other,Autre,operational,opérationnel
8497.0,City of Kamloops,Wastewater Treatment Centre,Kamloops,British Columbia,Colombie-Britannique,V2B5K1,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,28500.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Screening, Primary Sedimentation/Clarification, Activated Sludge, Biological Nutrient Removal (Nitrogen and Phosphorus), Disinfection","Dégrillage, Sédimentation/clarification primaire, Boues activées, Élimination biologique des nutriments (azote et phosphore), Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,50.6941,-120.4649,Verified,Vérifié,Final Discharge Point,Point de rejet final,Thompson River,Thompson River,Drinking water source,Source d'eau potable,Watercourse with bulk flow ratio > 100,Cours d'eau avec un coefficient de débit brut > 100,operational,opérationnel
10303.0,City of Kelowna,Wastewater Treatment Facility,Kelowna,British Columbia,Colombie-Britannique,V1Y4Z7,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,35370.0,Estimate based on the measured rate of influent flow,Estimations fondée sur le débit mesuré de l'affluent,,Yes,Oui,Continuous,Continu,"Grit Removal, Screening, Primary Sedimentation/Clarification, Skimming, Biological Nutrient Removal (Nitrogen and Phosphorus), Filtration, Disinfection","Dessablage, Dégrillage, Sédimentation/clarification primaire, Écrémage, Élimination biologique des nutriments (azote et phosphore), Filtration, Désinfection",,Effluent is deposited to water frequented by fish via the final discharge point,L'effluent est rejeté dans des eaux fréquentées par les poissons à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Monthly,Mensuel,49.8631,-119.4852,Verified,Vérifié,Final Discharge Point,Point de rejet final,Okanagan Lake,Okanagan Lake,Other,Autre,Natural lake,Lac naturel,operational,opérationnel
28135.0,City of Kimberley,Kimberley Pollution Control Center,Kimberley,British Columbia,Colombie-Britannique,V1A 2E8,Municipal or another local authority,Municipalité ou une autre autorité locale,Municipal or another local authority,Municipalité ou une autre autorité locale,4245.0,Continuous measure of effluent volume deposited via the final discharge point,Mesure en continu du volume d'effluent rejeté à partir du point de rejet final,,No,Non,Continuous,Continu,"Grit Removal, Screening, Extended Aeration Activated Sludge, Disinfection","Dessablage, Dégrillage, Boues activées par aération prolongée, Désinfection",,Effluent is deposited to water frequented by fish from a place where it was deposited via the final discharge point,L'effluent pénètre dans les eaux fréquentées par les poissons à partir d'un lieu où il a été rejeté à partir du point de rejet final.,No,Non,Quarterly,Trimestriel,Quarterly,Trimestriel,49.6316,-115.9623,Verified,Vérifié,Final Discharge Point,Point de rejet final,,,,,,,operational,opérationnel
