Appeal Type,Appeal Subtype,Agency,Status,Date Filed,Date Closed,Exam No.,Title,Expiration,Extension,Acronym
Section 50,Medical,Department of Probation - DOP,Open,02/07/2017,,6029.0,Probation Officer,09/14/2020,,DOP
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/06/2017,04/05/2017,6050.0,Estimator (General Construction),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/06/2017,08/31/2017,6042.0,Construction Project Manager,,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,02/03/2017,11/09/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,02/03/2017,03/06/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/03/2017,12/14/2017,7035.0,Administrative Director of Social Services,07/19/2021,,DCAS
Jurisdictional Issue,Probationary Employee,Transit Authority - NYCTA,Open,02/03/2017,02/06/2017,,,,,NYCTA
Section 50,Medical,Department of Correction - DOC,Closed,02/03/2017,06/05/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/03/2017,08/24/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Medical,Department of Sanitation - DSNY,Closed,02/02/2017,06/29/2017,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Psych,Police Department - NYPD,Closed,02/02/2017,05/12/2017,3318.0,Police Officer,12/17/2019,,NYPD
Section 50,Medical,Department of Correction - DOC,Open,02/02/2017,,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Medical,Department of Correction - DOC,Closed,02/02/2017,06/05/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Psych,Police Department - NYPD,Closed,02/02/2017,03/16/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/02/2017,09/08/2017,5044.0,Research Assistant,02/01/2021,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,02/02/2017,04/04/2017,6055.0,Project Manager Intern,,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,02/02/2017,06/05/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Psych,Department of Environmental Protection - DEP,Closed,02/02/2017,03/29/2017,5332.0,Environmental Police Officer,11/19/2019,,DEP
Section 50,Medical,Department of Correction - DOC,Closed,02/01/2017,06/05/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Psych,Department of Correction - DOC,Closed,02/01/2017,12/07/2017,6308.0,Correction Officer,06/03/2020,,DOC
Section 50,Score,Department of Citywide Administrative Services - DCAS,Closed,02/01/2017,08/21/2017,7035.0,Administrative Director of Social Services,,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,02/01/2017,05/09/2017,6003.0,Emergency Medical Specialist - EMT,02/24/2020,,FDNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/01/2017,08/24/2017,5044.0,Research Assistant,02/01/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/01/2017,08/02/2017,5045.0,Staff Analyst,08/10/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,02/01/2017,07/21/2017,5014.0,Associate Staff Analyst,08/10/2020,,DCAS
Section 50,Medical,Fire Department - FDNY,Closed,02/01/2017,06/13/2017,6003.0,Emergency Medical Specialist - EMT,02/24/2020,,FDNY
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/31/2017,03/23/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Medical,Department of Sanitation - DSNY,Closed,01/30/2017,04/27/2017,5001.0,Sanitation Worker,03/16/2020,,DSNY
Section 50,Psych,Police Department - NYPD,Closed,01/30/2017,12/04/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/30/2017,02/06/2017,5010.0,Administrative Manager,09/28/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/30/2017,09/18/2017,5039.0,Principal Administrative Associate,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/30/2017,09/08/2017,7000.0,Emergency Medical Specialist - EMT (Fire),03/29/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/30/2017,09/19/2017,5039.0,Principal Administrative Associate,,,DCAS
Section 50,Medical,Police Department - NYPD,Closed,01/30/2017,07/05/2017,3325.0,School Safety Agent,08/19/2019,,NYPD
Section 50,Medical,Department of Correction - DOC,Closed,01/30/2017,05/16/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Psych,Police Department - NYPD,Closed,01/30/2017,03/13/2017,4312.0,Police Officer,06/22/2020,,NYPD
Section 50,Psych,Department of Correction - DOC,Closed,01/30/2017,09/22/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Medical,Department of Correction - DOC,Closed,01/30/2017,08/16/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/27/2017,07/12/2017,5039.0,Principal Administrative Associate,,,DCAS
Section 50,Character,Police Department - NYPD,Open,01/27/2017,,3309.0,Police Officer,06/23/2019,,NYPD
Waiting for Appeal Request,,Police Department - NYPD,Closed,01/27/2017,03/07/2017,,,,,NYPD
Section 50,Character,Police Department - NYPD,Closed,01/26/2017,06/08/2017,3314.0,Police Officer,12/09/2019,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,01/26/2017,04/04/2017,6003.0,Emergency Medical Specialist - EMT,02/24/2020,,FDNY
Section 50,Psych,Police Department - NYPD,Closed,01/26/2017,12/06/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Education and Experience,MTA New York City Transit - NYCT,Closed,01/26/2017,04/17/2017,5607.0,Telephone Maintainer,,,NYCT
Jurisdictional Issue,,Transit Authority - NYCTA,Open,01/26/2017,02/02/2017,,,,,NYCTA
Section 50,Character,Police Department - NYPD,Closed,01/25/2017,05/03/2017,2302.0,Police Officer,04/30/2018,,NYPD
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/25/2017,07/21/2017,6054.0,Plan Examiner (Buildings),,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/25/2017,06/30/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Education and Experience,Transit Authority - NYCTA,Closed,01/25/2017,03/07/2017,5607.0,Telephone Maintainer,,,NYCTA
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/25/2017,06/02/2017,5039.0,Principal Administrative Associate,,,DCAS
Section 50,Psych,Department of Correction - DOC,Open,01/25/2017,,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Psych,Police Department - NYPD,Closed,01/24/2017,07/20/2017,3309.0,Police Officer,06/23/2019,,NYPD
Waiting for DQ,,Police Department - NYPD,Open,01/24/2017,,,,,,NYPD
Section 50,Eligibility,Police Department - NYPD,Closed,01/23/2017,01/25/2017,4323.0,Police Officer,,,NYPD
Section 76,,Transit Authority - NYCTA,Closed,01/23/2017,03/29/2017,,,,,NYCTA
Section 50,Character,Police Department - NYPD,Closed,01/23/2017,05/25/2017,3308.0,Police Officer,06/22/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,01/23/2017,06/14/2017,3316.0,Police Officer,12/14/2019,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,01/23/2017,05/17/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Medical,Department of Correction - DOC,Closed,01/23/2017,01/26/2017,6325.0,Correction Officer,09/21/2020,,DOC
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,01/23/2017,07/20/2017,4330.0,School Safety Agent (SSA),04/29/2020,,NYPD
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,01/23/2017,09/19/2017,5003.0,Emergency Medical Specialist - EMT,02/18/2019,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/23/2017,08/29/2017,6043.0,Construction Project Manager Intern,,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,01/23/2017,05/17/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Psych,Police Department - NYPD,Closed,01/23/2017,04/10/2017,5503.0,Police Officer (Promotional),11/25/2019,,NYPD
Section 50,Psych,Department of Correction - DOC,Closed,01/23/2017,09/08/2017,3303.0,Correction Officer,06/03/2019,,DOC
Section 50,Character,Department of Parks and Recreation - DPR,Closed,01/20/2017,01/23/2017,,,,,DPR
Section 50,Medical,Department of Correction - DOC,Closed,01/20/2017,05/16/2017,6325.0,Correction Officer,09/21/2020,,DOC
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/20/2017,03/20/2017,6006.0,Heating Plant Technician (Housing Authority),,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,01/20/2017,05/17/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Medical,Department of Correction - DOC,Closed,01/20/2017,05/17/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Psych,Police Department - NYPD,Closed,01/20/2017,06/14/2017,4300.0,Police Officer,12/22/2019,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,01/20/2017,05/08/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Medical,Department of Correction - DOC,Closed,01/20/2017,05/17/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Medical,Fire Department - FDNY,Closed,01/19/2017,05/12/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Psych,Department of Correction - DOC,Closed,01/19/2017,11/09/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Character,Department of Correction - DOC,Closed,01/19/2017,06/06/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,01/19/2017,07/14/2017,4321.0,School Safety Agent,04/27/2020,,NYPD
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,01/19/2017,07/14/2017,5319.0,Traffic Enforcement Agent,10/28/2019,,NYPD
Section 50,Character,Department of Correction - DOC,Closed,01/19/2017,05/17/2017,6308.0,Correction Officer,03/02/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/19/2017,06/02/2017,5039.0,Principal Administrative Associate,,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,01/19/2017,05/16/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Psych,Fire Department - FDNY,Closed,01/19/2017,04/17/2017,2000.0,Firefighter,06/26/2017,,FDNY
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,01/18/2017,03/07/2017,,,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Open,01/18/2017,,5044.0,Research Assistant,02/01/2021,,DCAS
Section 50,Psych,Police Department - NYPD,Closed,01/18/2017,07/06/2017,2344.0,Police Officer,06/19/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/18/2017,03/30/2017,6029.0,Probation Officer,09/14/2020,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,01/18/2017,06/06/2017,6029.0,Probation Officer,09/14/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/18/2017,06/30/2017,5039.0,Principal Administrative Associate,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/18/2017,02/06/2017,5017.0,Computer Programmer Analyst,,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,01/18/2017,06/16/2017,6332.0,Correction Officer,09/22/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/18/2017,09/06/2017,5039.0,Principal Administrative Associate,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/18/2017,03/23/2017,6029.0,Probation Officer,09/14/2020,,DCAS
Section 50,Character,Department of Correction - DOC,Closed,01/17/2017,03/31/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/17/2017,06/13/2017,5044.0,Research Assistant,,,DCAS
Waiting for DQ,,Department of Correction - DOC,Closed,01/16/2017,01/25/2017,,,,,DOC
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,01/14/2017,01/25/2017,,,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/13/2017,01/18/2017,6067.0,City Planner,,,DCAS
Section 50,Medical,Department of Correction - DOC,Closed,01/13/2017,05/16/2017,6325.0,Correction Officer,09/21/2020,,DOC
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/13/2017,03/23/2017,6033.0,Maintenance Worker,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/13/2017,03/23/2017,6006.0,Heating Plant Technician,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/13/2017,08/21/2017,6042.0,Construction Project  Manager,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/13/2017,04/12/2017,5017.0,Computer Programmer Analyst Trainee,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/13/2017,03/27/2017,6048.0,Civil Engineering Intern,12/07/2020,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/13/2017,04/26/2017,6047.0,Health Services Manager,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/13/2017,09/07/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/12/2017,06/16/2017,6043.0,Construction Project Manager Intern,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,01/12/2017,04/24/2017,2326.0,Police Officer,07/02/2018,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/12/2017,01/18/2017,6047.0,Health Services Manager,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/11/2017,12/05/2017,6036.0,Public Health Sanitarian,12/07/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/11/2017,03/29/2017,6050.0,Estimator (General Construction),,,DCAS
Section 50,Character,Police Department - NYPD,Closed,01/11/2017,05/16/2017,4306.0,Police Officer,12/23/2019,,NYPD
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/11/2017,01/25/2017,6047.0,Health Services Manager,,,DCAS
Section 50,Character,Police Department - NYPD,Closed,01/11/2017,07/07/2017,3327.0,School Safety Agent,09/10/2019,,NYPD
Section 50,Character,Department of Correction - DOC,Closed,01/11/2017,06/06/2017,6315.0,Correction Officer,06/15/2020,,DOC
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/10/2017,03/23/2017,4064.0,Masons Helper,12/23/2019,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/09/2017,04/06/2017,8098.0,Train Operator,09/19/2017,,DCAS
Section 50,Education and Experience,Police Department - NYPD,Closed,01/09/2017,03/03/2017,2050.0,Police Officer,12/17/2018,,NYPD
Section 50,Character,Police Department - NYPD,Closed,01/09/2017,02/14/2017,2050.0,Police Officer,12/17/2018,,NYPD
Section 50,Character,Police Department - NYPD,Closed,01/09/2017,03/31/2017,2344.0,Police Officer,06/19/2019,,NYPD
Waiting for DQ,,Department of Citywide Administrative Services - DCAS,Closed,01/09/2017,03/07/2017,,,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/09/2017,03/10/2017,5022.0,Education Officer,,,DCAS
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/09/2017,03/31/2017,5015.0,Bookkeeper,04/27/2020,,DCAS
Section 76,Termination,Human Resources Administration - HRA,Closed,01/09/2017,03/30/2017,,,,,HRA
Waiting for DQ,,Department of Correction - DOC,Closed,01/06/2017,01/18/2017,,,,,DOC
Section 50,Eligibility,Department of Citywide Administrative Services - DCAS,Closed,01/06/2017,09/13/2017,7501.0,Promotion to Firefighter,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/06/2017,07/20/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Character,Fire Department - FDNY,Closed,01/06/2017,03/29/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Medical,Fire Department - FDNY,Closed,01/06/2017,05/12/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/06/2017,07/20/2017,6033.0,Maintenance Worker,05/10/2021,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/06/2017,10/03/2017,5013.0,Associate Project Manager,10/05/2020,,DCAS
Waiting for DQ,,Other - OTH,Closed,01/06/2017,03/07/2017,,,,,OTH
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/05/2017,02/07/2017,6043.0,Construction Project Manager Intern,,,DCAS
Section 50,Unauthorized Substance,Police Department - NYPD,Closed,01/05/2017,06/15/2017,4330.0,School Safety Agent,04/29/2020,,NYPD
Section 50,Psych,Police Department - NYPD,Closed,01/05/2017,03/28/2017,3048.0,Police Officer,12/11/2019,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,01/05/2017,06/13/2017,4004.0,Emerg.Med.Spec.-EMT,02/19/2018,,FDNY
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/04/2017,03/30/2017,5010.0,Administrative Manager,09/28/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/04/2017,12/14/2017,6042.0,Construction Project Manager,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/04/2017,06/30/2017,5011.0,Administrative Staff Analyst,09/28/2020,,DCAS
Section 50,Character,Administration for Children's Services - ACS,Closed,01/04/2017,05/11/2017,4317.0,Child Protective Specialist,05/06/2020,,ACS
Section 50,Character,Fire Department - FDNY,Closed,01/03/2017,05/04/2017,2000.0,Firefighter,06/26/2017,,FDNY
Jurisdictional Issue,,Other - OTH,Closed,01/03/2017,01/09/2017,,,,,OTH
Section 50,Psych,Police Department - NYPD,Closed,01/03/2017,12/06/2017,3317.0,Police Officer,12/16/2019,,NYPD
Section 50,Medical,Fire Department - FDNY,Closed,01/03/2017,04/06/2017,2000.0,Firefighter,06/26/2017,,FDNY
Section 50,Timeliness,Department of Citywide Administrative Services - DCAS,Closed,01/03/2017,03/23/2017,6036.0,Public Health Sanitarian,12/07/2020,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/03/2017,06/30/2017,5017.0,Computer Programmer Analyst Trainee,,,DCAS
Section 50,Education and Experience,Department of Citywide Administrative Services - DCAS,Closed,01/03/2017,03/21/2017,6042.0,Construction Project Manager,,,DCAS
