Site,Date Range of Specimen Collection,Round,Catchment FIPS Code Description,Catchment Area Description,Catchment population,n [0-17 Years Prevalence],Rate (%) [0-17 Years Prevalence],Lower CI [0-17 Years Prevalence],Upper CI [0-17 Years Prevalence],CI Flag [0-17 Years Prevalence],n [18-49 Years Prevalence],Rate (%) [18-49 Years Prevalence],Lower CI [18-49 Years Prevalence],Upper CI [18-49 Years Prevalence],CI Flag [18-49 Years Prevalence],n [50-64 Years Prevalence],Rate (%) [50-64 Years Prevalence],Lower CI [50-64 Years Prevalence],Upper CI [50-64 Years Prevalence],CI Flag [50-64 Years Prevalence],n [65+ Years Prevalence],Rate (%) [65+ Years Prevalence],Lower CI [65+ Years Prevalence],Upper CI [65+ Years Prevalence],CI Flag [65+ Years Prevalence],n [Male Prevalence],Rate (%) [Male Prevalence],Lower CI [Male Prevalence],Upper CI [Male Prevalence],CI Flag [Male Prevalence],n [Female Prevalence],Rate (%) [Female Prevalence],Lower CI [Female Prevalence],Upper CI [Female Prevalence],CI Flag [Female Prevalence],n [Cumulative Prevalence],Rate (%) [Cumulative Prevalence],Lower CI [Cumulative Prevalence],Upper CI [Cumulative Prevalence],CI Flag [Cumulative Prevalence],Estimated cumulative infections count,Estimated cumulative infections lower CI 7,Estimated cumulative infections upper CI 7,All age-sex strata had at least one positive,Site Large CI Flag
TX,"Apr 16 - Apr 29, 2021",19,Statewide,Statewide,27885195,106,30.7,20.52,41.52,0.0,281,34.0,28.05,40.25,0.0,278,27.8,21.23,34.92,0.0,279,13.2,9.1,17.99,0.0,289,27.8,20.8,35.43,0.0,655,31.3,26.75,35.71,0.0,944,29.6,25.71,33.81,0.0,8254018.0,7169284.0,9427984.0,True,False
UT,"Apr 19 - Apr 26, 2021",19,Statewide,Statewide,3045350,55,777.0,,,,390,27.9,23.44,32.91,0.0,450,23.9,19.22,28.34,0.0,405,15.5,11.56,19.88,0.0,478,26.7,19.92,34.16,0.0,822,29.0,22.69,36.12,0.0,1300,27.8,22.93,32.77,0.0,846607.0,698299.0,997961.0,True,False
VA,"Apr 15 - Apr 29, 2021",19,Statewide,Statewide,8413774,22,777.0,,,,306,20.4,14.76,25.73,0.0,300,13.8,9.1,18.57,0.0,312,8.8,5.58,12.78,0.0,338,12.2,7.7,18.24,0.0,602,20.9,15.02,27.85,0.0,940,16.6,12.86,20.84,0.0,1396686.0,1082011.0,1753431.0,True,False
VT,"Apr 19 -  May 1, 2021",19,Statewide,Statewide,624977,10,777.0,,,,276,3.7,1.29,6.95,0.0,171,7.2,3.07,11.91,0.0,164,2.9,0.0,6.77,1.0,226,6.4,2.94,10.15,0.0,395,2.3,0.71,4.13,0.0,621,4.3,2.51,6.33,0.0,26874.0,15687.0,39561.0,False,True
WA,"Apr 16 - Apr 30, 2021",19,Statewide,Statewide,7294336,303,7.8,4.79,10.71,0.0,323,5.0,2.55,7.69,0.0,323,4.8,2.59,7.5,0.0,361,4.1,2.09,6.37,0.0,537,6.3,4.03,8.65,0.0,773,4.6,3.04,6.4,0.0,1310,5.5,4.13,6.85,0.0,401188.0,301256.0,499662.0,True,False
WI,"Apr 19 - Apr 26, 2021",19,Statewide,Statewide,5778394,45,777.0,,,,618,31.7,27.99,35.34,0.0,429,24.8,20.09,30.11,0.0,248,20.3,14.32,26.56,0.0,520,29.2,22.51,36.31,0.0,820,29.3,23.6,35.08,0.0,1340,29.3,24.68,33.8,0.0,1693069.0,1426108.0,1953097.0,True,False
WV,"Apr 19 -  May 2, 2021",19,Statewide,Statewide,1829054,53,777.0,,,,332,9.6,6.58,13.71,0.0,285,10.2,6.58,14.17,0.0,282,9.7,5.94,13.23,0.0,392,12.0,8.01,17.32,0.0,560,11.0,7.63,14.56,0.0,952,11.5,8.7,14.18,0.0,210341.0,159128.0,259360.0,True,False
WY,"Apr 19 -  May 1, 2021",19,Statewide,Statewide,581836,22,777.0,,,,392,28.7,23.64,33.99,0.0,411,21.4,17.03,25.38,0.0,254,17.8,12.34,23.18,0.0,517,23.2,17.79,29.76,0.0,562,29.7,22.48,38.66,0.0,1079,26.4,21.47,31.52,0.0,153605.0,124920.0,183395.0,True,False
US,"Apr 12 -  May 2, 2021",19,50 States & DC,50 States & DC,322903030,7948,26.7,25.38,27.96,0.0,18606,23.5,22.6,24.24,0.0,16616,19.1,18.16,19.95,0.0,16198,13.6,12.84,14.35,0.0,24060,21.6,20.91,22.33,0.0,35308,21.2,20.59,21.92,0.0,59368,21.4,20.89,21.93,0.0,69101248.0,67454443.0,70812634.0,True,False
AK,"Apr 29 - May 15, 2021",20,Statewide,Statewide,738516,44,777.0,,,,452,11.4,8.39,14.88,0.0,407,13.8,10.0,17.93,0.0,397,7.4,4.31,10.52,0.0,513,11.4,7.95,15.78,0.0,787,9.3,6.38,12.79,0.0,1300,10.4,8.07,13.21,0.0,76806.0,59598.0,97558.0,True,False
AL,"May 3 - May 16, 2021",20,Statewide,Statewide,4864680,302,37.2,31.81,42.52,0.0,561,28.1,23.87,31.97,0.0,381,24.3,19.56,28.61,0.0,328,22.3,17.72,26.97,0.0,626,25.5,21.87,28.86,0.0,946,31.3,27.99,34.4,0.0,1572,28.4,26.1,30.71,0.0,1381569.0,1269681.0,1493943.0,True,False
AR,"May 3 - May 15, 2021",20,Statewide,Statewide,2990671,279,31.5,26.42,37.6,0.0,341,28.8,23.77,33.92,0.0,330,18.8,14.28,23.72,0.0,350,17.0,12.86,21.03,0.0,515,26.6,21.99,31.23,0.0,785,24.7,21.47,28.49,0.0,1300,25.6,22.89,28.53,0.0,765612.0,684565.0,853238.0,True,False
AZ,"May 3 - May 10, 2021",20,Statewide,Statewide,6946685,317,31.0,25.69,36.42,0.0,312,33.0,27.88,38.98,0.0,315,22.6,17.52,27.94,0.0,360,11.6,8.58,15.04,0.0,573,26.1,21.93,30.74,0.0,731,28.2,24.38,32.36,0.0,1304,27.1,24.24,29.91,0.0,1882552.0,1683876.0,2077753.0,True,False
CA,"May 3 - May 10, 2021",20,Statewide,Statewide,39148760,326,46.8,41.31,52.38,0.0,336,23.2,18.74,27.6,0.0,329,22.4,17.74,27.66,0.0,325,15.0,10.77,18.93,0.0,576,25.2,20.84,29.21,0.0,740,29.6,26.04,33.16,0.0,1316,27.4,24.63,29.86,0.0,10726760.0,9642340.0,11689820.0,True,False
CO,"Apr 26 - May 12, 2021",20,Statewide,Statewide,5531141,126,13.4,6.16,23.76,0.0,354,12.7,9.05,16.3,0.0,387,9.4,6.25,13.07,0.0,402,5.2,3.04,7.74,0.0,574,12.7,8.66,17.48,0.0,695,9.7,6.95,12.75,0.0,1269,11.2,8.64,13.97,0.0,619488.0,477891.0,772700.0,True,False
CT,"May 3 - May 16, 2021",20,Statewide,Statewide,3581504,148,8.9,4.15,13.46,0.0,388,11.4,7.93,14.9,0.0,357,10.6,7.28,14.21,0.0,389,7.9,4.81,11.4,0.0,528,9.9,6.95,12.71,0.0,754,10.3,7.75,12.79,0.0,1282,10.1,8.16,12.14,0.0,361732.0,292251.0,434795.0,True,False
DC,"May 3 - May 15, 2021",20,Statewide,Statewide,684498,71,777.0,,,,329,21.5,17.01,26.27,0.0,531,22.4,18.94,26.47,0.0,369,14.0,10.46,17.78,0.0,546,26.6,21.29,32.26,0.0,754,21.4,17.25,25.39,0.0,1300,23.9,20.41,27.4,0.0,163595.0,139706.0,187552.0,True,False
DE,"May 3 - May 15, 2021",20,Statewide,Statewide,949495,145,22.2,15.49,28.86,0.0,508,26.5,22.63,30.43,0.0,445,17.2,13.52,21.18,0.0,348,10.4,7.25,13.63,0.0,592,21.4,17.65,25.1,0.0,854,20.3,17.16,23.32,0.0,1446,20.8,18.64,23.13,0.0,197495.0,176986.0,219618.0,True,False
FL,"May 3 - May 15, 2021",20,Statewide,Statewide,20598139,284,36.4,30.77,42.13,0.0,279,30.4,24.99,35.94,0.0,296,26.5,21.38,32.14,0.0,324,15.6,11.8,19.3,0.0,520,28.5,24.3,33.22,0.0,663,27.4,23.88,31.07,0.0,1183,27.9,24.98,31.04,0.0,5746881.0,5145415.0,6393662.0,True,False
GA,"Apr 30 - May 10, 2021",20,Statewide,Statewide,10297484,322,18.3,13.95,23.18,0.0,325,15.6,11.66,20.21,0.0,327,19.1,14.85,24.06,0.0,325,9.4,5.63,13.52,0.0,567,16.3,12.91,19.85,0.0,732,15.9,12.97,19.19,0.0,1299,16.1,13.64,18.72,0.0,1657895.0,1404577.0,1927689.0,True,False
HI,"Apr 28 - May 15, 2021",20,Statewide,Statewide,1422029,58,777.0,,,,366,4.8,2.29,7.43,0.0,358,2.6,1.01,4.45,0.0,393,1.4,0.18,3.02,0.0,423,2.6,0.87,4.49,0.0,752,2.9,1.58,4.38,0.0,1175,2.7,1.65,3.88,0.0,38395.0,23463.0,55175.0,False,False
IA,"Apr 27 - May 14, 2021",20,Statewide,Statewide,3132499,45,777.0,,,,457,14.3,11.15,17.64,0.0,285,16.4,11.66,21.17,0.0,216,6.5,3.46,10.11,0.0,427,14.8,10.09,20.86,0.0,576,15.1,10.96,19.76,0.0,1003,14.9,11.73,18.53,0.0,466742.0,367442.0,580452.0,True,False
ID,"Apr 26 - May 15, 2021",20,Statewide,Statewide,1687809,36,777.0,,,,564,12.8,9.63,15.83,0.0,344,16.9,12.14,21.8,0.0,358,14.2,10.14,19.14,0.0,521,19.5,11.32,27.62,0.0,781,12.0,8.34,16.33,0.0,1302,15.8,11.62,20.46,0.0,266674.0,196123.0,345326.0,True,False
IL,"May 3 - May 15, 2021",20,Statewide,Statewide,12821497,400,45.1,38.97,51.69,0.0,357,38.9,33.36,44.9,0.0,354,31.2,24.01,38.11,0.0,332,15.8,10.76,21.67,0.0,547,32.3,27.22,37.88,0.0,896,38.4,34.34,42.54,0.0,1443,35.4,32.19,38.94,0.0,4538810.0,4127240.0,4992691.0,True,False
IN,"Apr 29 - May 13, 2021",20,Statewide,Statewide,6637426,15,777.0,,,,350,19.6,15.33,24.51,0.0,124,18.2,9.95,27.45,0.0,102,14.8,4.84,27.54,0.0,139,12.0,6.77,18.87,0.0,452,24.9,19.37,30.12,0.0,591,18.5,14.44,22.52,0.0,1227924.0,958444.0,1494748.0,True,False
KS,"Apr 29 - May 13, 2021",20,Statewide,Statewide,2908776,147,15.0,9.18,21.91,0.0,393,11.8,8.02,15.58,0.0,376,14.3,10.21,18.32,0.0,369,11.8,8.06,15.78,0.0,559,13.5,9.91,17.4,0.0,726,12.7,9.54,15.99,0.0,1285,13.1,10.63,15.7,0.0,381050.0,309203.0,456678.0,True,False
KY,"May 3 - May 15, 2021",20,Statewide,Statewide,4440204,399,27.6,22.58,32.23,0.0,325,23.4,18.38,28.22,0.0,306,23.9,18.34,29.28,0.0,334,13.1,9.37,17.43,0.0,584,26.1,21.88,30.46,0.0,780,19.7,16.36,23.19,0.0,1364,22.9,20.27,25.51,0.0,1016807.0,900029.0,1132696.0,True,False
LA,"Apr 30 - May 13, 2021",20,Statewide,Statewide,4663616,310,11.7,7.66,16.19,0.0,325,13.8,9.56,17.93,0.0,325,14.4,9.9,19.59,0.0,325,13.3,8.62,18.56,0.0,554,12.9,9.58,16.12,0.0,731,13.7,10.65,17.08,0.0,1285,13.3,11.06,15.63,0.0,620261.0,515796.0,728923.0,True,False
MA,"May 3 - May 16, 2021",20,Statewide,Statewide,6830193,210,13.9,9.1,18.99,0.0,359,11.8,8.5,15.76,0.0,357,11.3,8.17,15.15,0.0,360,7.0,4.29,9.99,0.0,530,12.3,9.36,16.11,0.0,756,10.5,8.0,13.28,0.0,1286,11.4,9.34,13.52,0.0,778642.0,637940.0,923442.0,True,False
MD,"Apr 29 - May 13, 2021",20,Statewide,Statewide,6003435,83,27.8,17.58,37.87,0.0,435,36.9,32.61,41.34,0.0,432,16.5,13.06,20.32,0.0,418,7.1,4.69,9.66,0.0,577,31.5,26.51,35.98,0.0,791,21.5,17.71,25.37,0.0,1368,26.3,23.43,29.48,0.0,1578903.0,1406605.0,1769813.0,True,False
ME,"May 3 - May 15, 2021",20,Statewide,Statewide,1332813,10,777.0,,,,228,7.0,3.49,10.52,0.0,156,3.7,0.65,7.2,0.0,152,1.0,0.0,2.87,1.0,210,4.7,1.71,7.81,0.0,336,5.0,2.21,8.29,0.0,546,4.9,2.86,6.9,0.0,65308.0,38118.0,91964.0,False,True
MI,"May 3 - May 16, 2021",20,Statewide,Statewide,9957488,48,777.0,,,,399,29.8,25.26,34.89,0.0,445,17.1,13.7,21.29,0.0,457,13.3,9.89,16.81,0.0,498,19.4,14.48,24.95,0.0,851,29.1,24.57,34.2,0.0,1349,24.4,20.89,27.73,0.0,2429627.0,2080119.0,2761211.0,True,False
MN,"Apr 30 - May 13, 2021",20,Statewide,Statewide,5527358,118,12.8,6.59,20.6,0.0,439,15.5,11.8,19.87,0.0,352,13.2,9.5,17.44,0.0,380,13.6,10.19,17.68,0.0,524,16.7,13.25,20.42,0.0,765,11.6,8.9,14.81,0.0,1289,14.1,11.93,16.54,0.0,779357.0,659414.0,914225.0,True,False
MO,"May 3 - May 15, 2021",20,Statewide,Statewide,6090062,122,25.5,16.58,36.42,0.0,545,32.3,27.54,37.73,0.0,341,20.2,14.75,25.8,0.0,370,18.5,13.08,24.27,0.0,570,25.9,20.71,31.53,0.0,808,26.2,22.01,30.53,0.0,1378,26.1,22.89,29.31,0.0,1589506.0,1394015.0,1784997.0,True,False
MS,"May 3 - May 16, 2021",20,Statewide,Statewide,2988762,120,28.0,19.93,35.92,0.0,600,32.3,28.56,35.87,0.0,373,25.1,20.76,29.84,0.0,369,17.8,13.29,22.12,0.0,521,25.9,21.56,30.2,0.0,941,29.3,25.68,32.97,0.0,1462,27.7,24.89,30.61,0.0,827887.0,743903.0,914860.0,True,False
MT,"May 2 - May 14, 2021",20,Statewide,Statewide,1041732,28,777.0,,,,251,12.1,7.82,16.3,0.0,165,8.3,4.22,13.02,0.0,178,11.1,5.83,17.2,0.0,249,15.4,8.9,22.66,0.0,373,13.7,7.6,20.51,0.0,622,14.6,10.24,19.6,0.0,152093.0,106673.0,204179.0,True,False
NC,"May 3 - May 12, 2021",20,Statewide,Statewide,10155624,329,20.3,15.8,25.29,0.0,327,30.4,25.59,35.61,0.0,325,23.4,18.23,28.73,0.0,326,15.0,10.76,18.7,0.0,557,25.9,22.01,29.7,0.0,750,23.0,19.65,26.51,0.0,1307,24.4,22.1,26.97,0.0,2477972.0,2244393.0,2738972.0,True,False
ND,"May 3 - May 13, 2021",20,Statewide,Statewide,752201,0,666.0,,,,2,777.0,,,,2,777.0,,,,8,777.0,,,,8,777.0,,,,4,777.0,,,,12,777.0,,,,,,,False,
NE,"Apr 30 - May 15, 2021",20,Statewide,Statewide,1904760,73,777.0,,,,698,13.7,11.1,16.35,0.0,327,17.4,13.11,22.07,0.0,217,11.1,6.97,15.89,0.0,568,17.7,13.54,22.91,0.0,747,12.2,8.97,15.99,0.0,1315,14.9,12.13,17.93,0.0,283809.0,231047.0,341523.0,True,False
NH,"May 3 - May 11, 2021",20,Statewide,Statewide,1343622,18,777.0,,,,449,5.6,3.6,7.98,0.0,352,8.7,5.79,12.07,0.0,542,7.2,4.54,9.96,0.0,598,6.3,4.11,8.55,0.0,763,7.9,4.87,14.25,0.0,1361,7.1,5.38,10.32,0.0,95397.0,72287.0,138662.0,True,False
NJ,"Apr 29 - May 13, 2021",20,Statewide,Statewide,8881845,234,44.6,37.82,51.19,0.0,420,36.0,31.31,41.06,0.0,424,26.3,21.99,31.05,0.0,434,13.4,10.2,17.47,0.0,596,33.6,29.16,38.11,0.0,916,31.2,27.93,34.6,0.0,1512,32.4,29.34,35.06,0.0,2877718.0,2605933.0,3113975.0,True,False
NM,"Apr 30 - May 15, 2021",20,Statewide,Statewide,2092434,182,16.3,10.31,22.45,0.0,369,14.9,11.27,18.98,0.0,371,12.1,8.58,16.5,0.0,372,5.3,2.79,8.0,0.0,515,12.2,8.89,15.57,0.0,779,14.0,10.9,17.21,0.0,1294,13.1,10.72,15.72,0.0,274109.0,224309.0,328931.0,True,False
NV,"May 3 - May 15, 2021",20,Statewide,Statewide,2922849,106,28.6,19.67,37.76,0.0,318,32.7,26.48,38.32,0.0,430,26.5,22.18,31.21,0.0,465,14.2,10.9,17.98,0.0,579,29.5,24.44,34.39,0.0,740,26.1,22.01,30.72,0.0,1319,27.8,24.45,31.17,0.0,812552.0,714637.0,911052.0,True,False
NY,"Apr 28 - May 15, 2021",20,Statewide,Statewide,19618453,330,17.7,13.25,22.26,0.0,331,13.8,9.7,18.04,0.0,325,10.5,7.06,14.07,0.0,326,8.0,4.78,11.47,0.0,538,14.7,11.12,18.17,0.0,774,11.5,9.05,14.2,0.0,1312,13.1,10.78,15.28,0.0,2570017.0,2114869.0,2997700.0,True,False
OH,"May 3 - May 16, 2021",20,Statewide,Statewide,11641879,299,40.7,34.89,46.91,0.0,390,43.8,38.6,49.02,0.0,352,34.8,29.6,40.08,0.0,346,15.6,11.35,19.72,0.0,674,45.4,41.28,49.46,0.0,713,28.2,24.54,31.87,0.0,1387,36.7,34.0,39.44,0.0,4272570.0,3958239.0,4591557.0,True,False
OK,"May 2 -  May 7, 2021",20,Statewide,Statewide,3918137,325,19.2,14.7,24.12,0.0,326,12.2,8.32,16.11,0.0,325,11.8,7.95,16.23,0.0,324,13.9,9.94,17.96,0.0,532,16.2,12.86,19.47,0.0,768,12.0,9.52,14.81,0.0,1300,14.1,11.82,16.35,0.0,552457.0,463124.0,640615.0,True,False
OR,"Apr 28 - May 12, 2021",20,Statewide,Statewide,4081943,165,7.7,3.48,12.72,0.0,345,4.2,2.05,6.95,0.0,407,5.5,3.01,8.34,0.0,382,3.1,1.3,5.17,0.0,566,5.0,3.15,7.3,0.0,733,5.0,2.99,7.19,0.0,1299,5.0,3.49,6.69,0.0,204097.0,142460.0,273082.0,True,False
PA,"May 3 - May 16, 2021",20,Statewide,Statewide,12791181,286,23.6,18.87,28.54,0.0,462,29.1,24.67,33.62,0.0,414,23.5,17.2,30.73,0.0,366,15.7,10.42,22.3,0.0,621,25.1,21.03,29.29,0.0,907,23.8,20.61,26.96,0.0,1528,24.4,21.49,27.15,0.0,3121048.0,2748825.0,3472806.0,True,False
PR,"May 3 - May 11, 2021",20,Statewide,Statewide,3386941,325,17.3,12.64,22.13,0.0,325,67.8,61.57,74.56,0.0,325,79.1,72.48,85.11,0.0,325,85.2,78.96,90.84,0.0,527,59.6,54.1,65.48,0.0,773,66.2,61.81,70.71,0.0,1300,63.1,59.66,66.17,0.0,2137160.0,2020649.0,2241139.0,True,False
RI,"May 3 - May 15, 2021",20,Statewide,Statewide,1056611,55,777.0,,,,340,11.5,8.2,15.0,0.0,272,9.2,5.86,13.24,0.0,230,8.3,4.54,12.44,0.0,387,9.8,6.36,13.51,0.0,510,13.5,9.76,17.56,0.0,897,11.7,8.87,14.28,0.0,123623.0,93721.0,150884.0,True,False
SC,"May 3 - May 13, 2021",20,Statewide,Statewide,4955925,327,35.2,29.92,40.78,0.0,328,29.1,23.61,34.5,0.0,327,25.9,20.98,31.45,0.0,325,10.5,6.85,14.12,0.0,501,25.3,20.53,29.96,0.0,806,28.0,24.07,31.53,0.0,1307,26.7,23.84,29.47,0.0,1323232.0,1181493.0,1460511.0,True,False
SD,"May 3 - May 14, 2021",20,Statewide,Statewide,864289,14,777.0,,,,81,38.2,26.25,49.77,0.0,49,777.0,,,,70,777.0,,,,77,39.1,26.25,51.27,0.0,137,29.2,20.26,38.01,0.0,214,34.2,26.49,41.71,0.0,295587.0,228950.0,360495.0,True,False
TN,"May 3 - May 15, 2021",20,Statewide,Statewide,6651089,138,36.2,27.35,45.07,0.0,510,28.4,23.94,32.9,0.0,478,21.4,17.6,25.64,0.0,453,17.1,13.28,21.05,0.0,593,29.5,24.95,33.95,0.0,986,24.6,21.22,27.88,0.0,1579,27.0,24.12,29.68,0.0,1795794.0,1604243.0,1974043.0,True,False
TX,"Apr 30 - May 13, 2021",20,Statewide,Statewide,27885195,88,28.6,18.16,39.55,0.0,288,36.2,30.51,42.2,0.0,298,31.4,25.06,37.51,0.0,293,13.7,9.06,19.21,0.0,347,28.9,21.89,35.77,0.0,620,32.4,27.49,37.64,0.0,967,30.7,26.26,34.7,0.0,8560755.0,7322652.0,9676163.0,True,False
UT,"May 3 - May 11, 2021",20,Statewide,Statewide,3045350,91,31.7,22.07,41.45,0.0,387,27.1,22.27,32.12,0.0,420,24.2,19.69,28.78,0.0,407,13.7,10.08,17.91,0.0,519,24.8,18.76,30.99,0.0,786,28.6,23.43,33.36,0.0,1305,26.7,22.91,30.29,0.0,813108.0,697690.0,922437.0,True,False
VA,"Apr 29 - May 13, 2021",20,Statewide,Statewide,8413774,23,777.0,,,,504,20.0,15.78,23.93,0.0,486,14.2,10.61,18.45,0.0,468,8.4,5.36,11.66,0.0,557,14.1,10.49,17.97,0.0,924,17.5,11.85,22.44,0.0,1481,15.8,12.46,19.07,0.0,1329376.0,1048356.0,1604507.0,True,False
VT,"May 3 - May 15, 2021",20,Statewide,Statewide,624977,15,777.0,,,,237,5.3,1.95,8.81,0.0,132,2.6,0.0,6.45,1.0,139,4.8,1.14,9.11,0.0,182,6.0,2.57,10.36,0.0,341,2.6,0.84,4.93,0.0,523,4.3,2.23,6.77,0.0,26874.0,13937.0,42311.0,False,True
WA,"Apr 26 - May 15, 2021",20,Statewide,Statewide,7294336,314,8.3,5.2,11.83,0.0,324,8.0,4.89,11.19,0.0,322,5.7,3.2,8.67,0.0,347,2.6,0.94,4.5,0.0,561,6.4,4.05,9.07,0.0,746,7.2,5.06,9.36,0.0,1307,6.8,5.18,8.52,0.0,496015.0,377847.0,621477.0,True,False
WI,"May 3 - May 15, 2021",20,Statewide,Statewide,5778394,72,777.0,,,,572,29.8,25.98,34.2,0.0,395,26.3,21.53,31.59,0.0,284,13.8,8.75,19.11,0.0,529,28.2,23.29,33.46,0.0,794,26.9,22.84,31.35,0.0,1323,27.6,24.32,30.92,0.0,1594837.0,1405305.0,1786679.0,True,False
WV,"May 3 - May 15, 2021",20,Statewide,Statewide,1829054,84,6.2,1.0,12.54,0.0,527,12.4,9.3,15.56,0.0,408,13.3,9.86,16.99,0.0,368,8.8,5.98,11.99,0.0,583,12.7,9.37,15.97,0.0,804,8.6,6.25,11.11,0.0,1387,10.6,8.57,12.87,0.0,193880.0,156750.0,235399.0,True,False
WY,"May 3 - May 15, 2021",20,Statewide,Statewide,581836,13,777.0,,,,240,32.0,25.78,37.54,0.0,231,22.5,16.87,29.07,0.0,169,17.7,12.14,24.63,0.0,309,26.8,20.73,33.53,0.0,344,30.4,24.75,37.24,0.0,653,28.6,24.13,33.15,0.0,166405.0,140397.0,192879.0,True,False
US,"Apr 26 - May 16, 2021",20,50 States & DC,50 States & DC,322903030,8094,28.3,27.09,29.56,0.0,19353,24.5,23.75,25.34,0.0,17070,20.2,19.38,21.11,0.0,16691,12.4,11.62,13.13,0.0,25060,22.3,21.54,23.04,0.0,36148,22.0,21.4,22.72,0.0,61208,22.1,21.67,22.64,0.0,71361570.0,69973087.0,73105246.0,True,False
AK,"May 10 - May 29, 2021",21,Statewide,Statewide,738516,31,777.0,,,,485,7.5,4.84,10.23,0.0,388,10.0,6.81,13.24,0.0,392,9.4,6.23,13.15,0.0,507,14.2,6.5,22.3,0.0,789,9.3,6.14,13.24,0.0,1296,11.9,7.53,16.36,0.0,87883.0,55610.0,120821.0,True,False
AL,"May 17 - May 30, 2021",21,Statewide,Statewide,4864680,199,34.3,26.25,41.32,0.0,426,28.8,24.41,33.09,0.0,410,26.9,21.92,31.31,0.0,442,16.7,13.15,20.56,0.0,633,27.9,23.91,31.78,0.0,844,27.5,23.8,31.14,0.0,1477,27.7,24.99,30.27,0.0,1347516.0,1215684.0,1472539.0,True,False
AR,"May 17 - May 29, 2021",21,Statewide,Statewide,2990671,304,32.3,26.85,38.27,0.0,334,28.6,23.68,33.59,0.0,346,23.0,18.38,27.82,0.0,357,11.2,7.94,14.82,0.0,530,23.4,19.71,27.06,0.0,811,27.6,24.27,31.27,0.0,1341,25.6,23.12,28.08,0.0,765612.0,691443.0,839780.0,True,False
AZ,"May 17 - May 20, 2021",21,Statewide,Statewide,6946685,133,43.6,35.14,52.09,0.0,397,32.9,28.22,37.84,0.0,384,24.9,20.58,29.23,0.0,389,16.5,13.08,20.54,0.0,576,31.1,26.58,35.53,0.0,727,31.4,27.27,35.18,0.0,1303,31.3,28.34,34.26,0.0,2174312.0,1968691.0,2379934.0,True,False
CA,"May 17 - May 29, 2021",21,Statewide,Statewide,39148760,325,40.5,35.13,46.09,0.0,327,19.1,14.73,23.52,0.0,328,17.9,13.82,22.34,0.0,327,12.5,8.99,16.5,0.0,598,21.2,17.36,25.17,0.0,709,24.7,21.58,28.05,0.0,1307,22.9,20.45,25.43,0.0,8965066.0,8005921.0,9955530.0,True,False
CO,"May 15 - May 27, 2021",21,Statewide,Statewide,5531141,287,17.5,12.42,22.82,0.0,367,16.1,10.53,21.67,0.0,331,10.7,6.9,14.91,0.0,329,8.3,5.33,11.92,0.0,567,14.0,10.02,18.33,0.0,747,14.8,10.67,20.2,0.0,1314,14.4,11.36,17.26,0.0,796484.0,628338.0,954675.0,True,False
CT,"May 17 - May 30, 2021",21,Statewide,Statewide,3581504,139,10.5,4.92,16.3,0.0,385,8.4,5.79,11.22,0.0,353,8.4,5.46,11.5,0.0,382,6.4,3.85,9.26,0.0,492,7.7,4.85,10.61,0.0,767,9.2,7.17,11.65,0.0,1259,8.5,6.67,10.41,0.0,304428.0,238886.0,372835.0,True,False
DC,"May 17 - May 29, 2021",21,Statewide,Statewide,684498,97,32.2,21.85,42.4,0.0,344,24.3,19.06,29.01,0.0,460,22.2,18.41,26.24,0.0,357,16.6,12.7,20.59,0.0,495,22.5,17.64,27.27,0.0,763,26.3,22.29,30.27,0.0,1258,24.5,21.23,27.56,0.0,167702.0,145319.0,188648.0,True,False
DE,"May 17 - May 28, 2021",21,Statewide,Statewide,949495,73,777.0,,,,207,19.1,14.24,24.35,0.0,300,17.5,13.3,23.02,0.0,212,8.3,4.58,12.14,0.0,297,20.7,15.17,26.5,0.0,495,18.0,14.51,22.16,0.0,792,19.3,16.12,22.63,0.0,183253.0,153059.0,214871.0,True,False
FL,"May 17 - May 28, 2021",21,Statewide,Statewide,20598139,328,33.9,28.57,39.29,0.0,357,28.8,24.04,33.96,0.0,352,19.5,15.54,24.65,0.0,344,15.5,11.35,19.99,0.0,601,24.8,20.78,28.75,0.0,780,25.9,22.64,29.3,0.0,1381,25.4,22.95,28.24,0.0,5231927.0,4727273.0,5816914.0,True,False
GA,"May 17 - May 24, 2021",21,Statewide,Statewide,10297484,326,17.3,12.98,21.88,0.0,326,13.9,9.83,18.42,0.0,326,13.5,9.43,17.46,0.0,327,11.5,8.16,15.67,0.0,570,15.5,12.32,19.2,0.0,735,13.2,10.58,15.98,0.0,1305,14.3,12.21,16.74,0.0,1472540.0,1257323.0,1723799.0,True,False
HI,"May 11 - May 29, 2021",21,Statewide,Statewide,1422029,45,777.0,,,,286,1.7,0.3,3.47,0.0,424,2.5,0.89,4.28,0.0,533,0.8,0.0,1.85,0.0,500,1.9,0.23,4.55,0.0,788,1.7,0.61,3.09,0.0,1288,1.8,0.67,3.21,0.0,25597.0,9528.0,45647.0,True,False
IA,"May 14 - May 27, 2021",21,Statewide,Statewide,3132499,34,777.0,,,,422,15.6,12.07,19.59,0.0,262,12.0,7.87,16.51,0.0,188,11.3,6.68,15.83,0.0,405,12.4,8.53,17.5,0.0,501,11.5,8.36,14.71,0.0,906,11.9,9.43,14.83,0.0,372767.0,295395.0,464550.0,True,False
