Disease,MMWR year,MMWR week,Current week,Current week_ flag,Cum 2017,Cum 2017_ flag,5-year weekly average§,5-year weekly average§_ flag,Total cases reported  2016,Total cases reported  2016_ flag,Total cases reported 2015,Total cases reported 2015_ flag,Total cases reported 2014,Total cases reported 2014_ flag,Total cases reported 2013,Total cases reported 2013_ flag,Total cases reported 2012,Total cases reported 2012_ flag,States reporting cases during current week (No.) 
"Poliomyelitis, paralytic",2017.0,16.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
Psittacosis**,2017.0,16.0,,-,2.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
"Botulism, infant",2017.0,16.0,1.0,,30.0,,3.0,,133.0,,138.0,,127.0,,136.0,,123.0,,PA (1 )
Trichinellosis**,2017.0,16.0,,-,3.0,,0.0,,25.0,,14.0,,14.0,,22.0,,18.0,,
Smallpox,2017.0,16.0,,-,,-,,-,,-,,-,,-,,-,,-,
Chancroid,2017.0,16.0,,-,5.0,,0.0,,8.0,,11.0,,,-,,-,15.0,,
Plague,2017.0,16.0,,-,,-,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
"Zika virus disease, non-congenital††††  ",2017.0,16.0,1.0,,141.0,,16.0,,5035.0,,,NN,,NN,,NN,,NN,TX (1 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,16.0,,-,38.0,,4.0,,150.0,,175.0,,128.0,,141.0,,115.0,,
"Polio virus Infection, nonparalytic**",2017.0,16.0,,-,,-,,-,,-,,-,,-,,-,,-,
Listeriosis,2017.0,16.0,5.0,,138.0,,11.0,,719.0,,768.0,,769.0,,735.0,,727.0,,"NYC (1 ), PA (1 ), OH (1 ), MD (1 ), ID (1 )"
Diphtheria,2017.0,16.0,,-,,-,0.0,,,-,,-,1.0,,,-,1.0,,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,16.0,,-,3.0,,0.0,,20.0,,21.0,,25.0,,17.0,,20.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,16.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,16.0,,-,2.0,,1.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,16.0,1.0,,18.0,,3.0,,112.0,,120.0,,123.0,,142.0,,161.0,,TX (1 )
Leptospirosis**,2017.0,16.0,,-,15.0,,0.0,,74.0,,40.0,,38.0,,,NN,,NN,
"Arboviral diseases¶,** Powassan virus disease",2017.0,16.0,,-,,-,0.0,,17.0,,7.0,,8.0,,12.0,,7.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,16.0,1.0,,4.0,,1.0,,40.0,,64.0,,59.0,,71.0,,65.0,,NE (1 )
Cholera,2017.0,16.0,,-,,-,0.0,,3.0,,5.0,,5.0,,14.0,,17.0,,
Novel influenza A virus infections§§§,2017.0,16.0,,-,,-,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,16.0,,-,4.0,,1.0,,23.0,,29.0,,40.0,,31.0,,30.0,,
Anthrax,2017.0,16.0,,-,,-,,-,,-,,-,,-,,-,,-,
Yellow fever,2017.0,16.0,,-,,-,,-,,-,,-,,-,,-,,-,
SARS-CoV,2017.0,16.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, acute**",2017.0,16.0,1.0,,14.0,,3.0,,126.0,,122.0,,132.0,,137.0,,113.0,,KY (1 )
"Viral hemorrhagic fever****, Lassa fever",2017.0,16.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Hepatitis B, perinatal virus infection§§",2017.0,16.0,,-,3.0,,1.0,,29.0,,37.0,,47.0,,48.0,,40.0,,
Cyclosporiasis**,2017.0,16.0,,-,7.0,,1.0,,512.0,,645.0,,388.0,,784.0,,123.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,16.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Viral hemorrhagic fever****, Marburg fever",2017.0,16.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Brucellosis,2017.0,16.0,,-,19.0,,3.0,,125.0,,126.0,,92.0,,99.0,,114.0,,
"Rabies, human",2017.0,16.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,16.0,,-,71.0,,7.0,,339.0,,367.0,,349.0,,338.0,,354.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,16.0,,-,5.0,,2.0,,227.0,,896.0,,,NN,,NN,,NN,
Vancomycin-resistant Staphylococcus aureus**,2017.0,16.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,16.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,16.0,,-,,-,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Q fever, total**",2017.0,16.0,2.0,,23.0,,4.0,,160.0,,156.0,,168.0,,170.0,,135.0,,
"Botulism, foodborne",2017.0,16.0,,-,,-,1.0,,32.0,,37.0,,15.0,,4.0,,27.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,16.0,1.0,,66.0,,4.0,,156.0,,120.0,,196.0,,298.0,,260.0,,VA (1 )
"Influenza-associated pediatric mortality**,¶¶",2017.0,16.0,6.0,,84.0,,3.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"MI (1 ), SC (1 ), FL (2 ), MS (1 ), CO (1 )"
Vancomycin-intermediate Staphylococcus aureus**,2017.0,16.0,,-,20.0,,4.0,,107.0,,183.0,,212.0,,248.0,,134.0,,
Hansen's disease**,2017.0,16.0,,-,23.0,,1.0,,73.0,,89.0,,88.0,,81.0,,82.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,16.0,,-,41.0,,1.0,,131.0,,135.0,,266.0,,233.0,,263.0,,
Tularemia,2017.0,16.0,1.0,,9.0,,3.0,,235.0,,314.0,,180.0,,203.0,,149.0,,OK (1 )
Measles***,2017.0,16.0,1.0,,39.0,,4.0,,83.0,,188.0,,667.0,,187.0,,55.0,,NE (1 )
"Botulism, total",2017.0,16.0,1.0,,33.0,,4.0,,192.0,,195.0,,161.0,,152.0,,168.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,16.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,16.0,,-,,-,,-,35.0,,55.0,,80.0,,85.0,,78.0,,
"Q fever, chronic**",2017.0,16.0,1.0,,9.0,,1.0,,34.0,,34.0,,36.0,,33.0,,22.0,,KY (1 )
Streptococcal toxic-shock syndrome**,2017.0,16.0,2.0,,80.0,,8.0,,283.0,,335.0,,259.0,,224.0,,194.0,,ME (2 )
"Botulism, other (wound and unspecified)",2017.0,16.0,,-,3.0,,0.0,,27.0,,20.0,,19.0,,12.0,,18.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,16.0,5.0,,83.0,,4.0,,229.0,,167.0,,39.0,,34.0,,37.0,,"MO (2 ), FL (1 ), AZ (2 )"
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,16.0,,-,24.0,,3.0,,71.0,,111.0,,89.0,,99.0,,110.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,16.0,,-,,-,,-,3.0,,3.0,,,NN,,NN,,NN,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,17.0,,-,,-,0.0,,35.0,,55.0,,80.0,,85.0,,78.0,,
Plague,2017.0,17.0,,-,,-,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,17.0,,-,,-,0.0,,3.0,,3.0,,,NN,,NN,,NN,
Typhoid fever (caused by Salmonella typhi),2017.0,17.0,,-,78.0,,6.0,,347.0,,367.0,,349.0,,338.0,,354.0,,
Cholera,2017.0,17.0,,-,,-,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,17.0,,-,4.0,,1.0,,24.0,,29.0,,40.0,,31.0,,30.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,17.0,,-,,-,,-,7.0,,6.0,,8.0,,8.0,,15.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,17.0,3.0,,69.0,,4.0,,159.0,,120.0,,196.0,,298.0,,260.0,,"TX (2 ), CA (1 )"
"Zika virus disease, non-congenital††††  ",2017.0,17.0,,-,146.0,,17.0,,5040.0,,,NN,,NN,,NN,,NN,
Novel influenza A virus infections§§§,2017.0,17.0,,-,,-,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
"Poliomyelitis, paralytic",2017.0,17.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Q fever, chronic**",2017.0,17.0,,-,9.0,,1.0,,35.0,,34.0,,36.0,,33.0,,22.0,,
Tularemia,2017.0,17.0,1.0,,11.0,,3.0,,235.0,,314.0,,180.0,,203.0,,149.0,,MO (1 )
"Hepatitis B, perinatal virus infection§§",2017.0,17.0,,-,3.0,,1.0,,30.0,,37.0,,47.0,,48.0,,40.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,17.0,,-,5.0,,2.0,,227.0,,896.0,,,NN,,NN,,NN,
Psittacosis**,2017.0,17.0,,-,2.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
"Botulism, infant",2017.0,17.0,1.0,,31.0,,3.0,,141.0,,138.0,,127.0,,136.0,,123.0,,WA (1 )
Brucellosis,2017.0,17.0,2.0,,22.0,,3.0,,131.0,,126.0,,92.0,,99.0,,114.0,,"NYC (1 ), TX (1 )"
Yellow fever,2017.0,17.0,,-,,-,,-,,-,,-,,-,,-,,-,
Diphtheria,2017.0,17.0,,-,,-,0.0,,,-,,-,1.0,,,-,1.0,,
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,17.0,,-,2.0,,1.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,17.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Q fever, total**",2017.0,17.0,2.0,,31.0,,4.0,,165.0,,156.0,,168.0,,170.0,,135.0,,
"Syphilis, congenital¶¶¶",2017.0,17.0,,-,115.0,,7.0,,551.0,,493.0,,458.0,,348.0,,322.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,17.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,17.0,,-,22.0,,4.0,,106.0,,183.0,,212.0,,248.0,,134.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,17.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
Smallpox,2017.0,17.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,17.0,,-,,-,,-,,-,,-,,-,,-,,-,
Leptospirosis**,2017.0,17.0,1.0,,16.0,,1.0,,73.0,,40.0,,38.0,,,NN,,NN,NYC (1 )
Streptococcal toxic-shock syndrome**,2017.0,17.0,3.0,,86.0,,8.0,,291.0,,335.0,,259.0,,224.0,,194.0,,"RI (2 ), OH (1 )"
SARS-CoV,2017.0,17.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Q fever, acute**",2017.0,17.0,2.0,,22.0,,3.0,,130.0,,122.0,,132.0,,137.0,,113.0,,"PA (1 ), ID (1 )"
"Rabies, human",2017.0,17.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
Cyclosporiasis**,2017.0,17.0,,-,10.0,,1.0,,497.0,,645.0,,388.0,,784.0,,123.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,17.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,17.0,3.0,,54.0,,5.0,,297.0,,274.0,,250.0,,329.0,,274.0,,"MO (1 ), NE (1 ), FL (1 )"
"Botulism, total",2017.0,17.0,1.0,,35.0,,4.0,,200.0,,195.0,,161.0,,152.0,,168.0,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,17.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Influenza-associated pediatric mortality**,¶¶",2017.0,17.0,10.0,,93.0,,3.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"MA (1 ), IN (1 ), MD (2 ), NC (1 ), FL (1 ), TX (1 ), CA (1 ), WA (2 )"
Toxic-shock syndrome (other than staphylococcal)**,2017.0,17.0,,-,7.0,,1.0,,42.0,,64.0,,59.0,,71.0,,65.0,,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,17.0,,-,,-,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,17.0,,-,19.0,,3.0,,105.0,,120.0,,123.0,,142.0,,161.0,,
Trichinellosis**,2017.0,17.0,,-,3.0,,0.0,,26.0,,14.0,,14.0,,22.0,,18.0,,
Hansen's disease**,2017.0,17.0,,-,25.0,,1.0,,77.0,,89.0,,88.0,,81.0,,82.0,,
Measles***,2017.0,17.0,4.0,,55.0,,5.0,,81.0,,188.0,,667.0,,187.0,,55.0,,MN (4 )
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,17.0,1.0,,46.0,,1.0,,131.0,,135.0,,266.0,,233.0,,263.0,,NE (1 )
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,17.0,,-,,-,,-,8.0,,11.0,,11.0,,22.0,,2.0,,
Listeriosis,2017.0,17.0,10.0,,151.0,,11.0,,751.0,,768.0,,769.0,,735.0,,727.0,,"NYC (3 ), MD (1 ), FL (3 ), CO (1 ), NV (1 ), OR (1 )"
Chancroid,2017.0,17.0,,-,6.0,,0.0,,8.0,,11.0,,,-,,-,15.0,,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,17.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,17.0,,-,3.0,,0.0,,21.0,,21.0,,25.0,,17.0,,20.0,,
"Botulism, other (wound and unspecified)",2017.0,17.0,,-,4.0,,0.0,,27.0,,20.0,,19.0,,12.0,,18.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,17.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Polio virus Infection, nonparalytic**",2017.0,17.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Lujo virus",2017.0,17.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,17.0,6.0,,88.0,,4.0,,239.0,,167.0,,39.0,,34.0,,37.0,,"NYC (1 ), PA (1 ), OH (1 ), TX (2 ), UT (1 )"
"Arboviral diseases¶,** Powassan virus disease",2017.0,17.0,,-,,-,0.0,,17.0,,7.0,,8.0,,12.0,,7.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,17.0,,-,40.0,,4.0,,149.0,,175.0,,128.0,,141.0,,115.0,,
"Botulism, foodborne",2017.0,17.0,,-,,-,1.0,,32.0,,37.0,,15.0,,4.0,,27.0,,
Vancomycin-resistant Staphylococcus aureus**,2017.0,17.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
Anthrax,2017.0,17.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,17.0,,-,24.0,,3.0,,74.0,,111.0,,89.0,,99.0,,110.0,,
"Arboviral diseases¶,** Eastern equine encephalitis virus disease",2017.0,18.0,,-,,-,,-,7.0,,6.0,,8.0,,8.0,,15.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,18.0,,-,22.0,,3.0,,104.0,,120.0,,123.0,,142.0,,161.0,,
"Botulism, other (wound and unspecified)",2017.0,18.0,,-,4.0,,0.0,,26.0,,20.0,,19.0,,12.0,,18.0,,
Chancroid,2017.0,18.0,,-,7.0,,0.0,,7.0,,11.0,,,-,,-,15.0,,
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,18.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,18.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,18.0,,-,26.0,,3.0,,73.0,,111.0,,89.0,,99.0,,110.0,,
Cyclosporiasis**,2017.0,18.0,,-,13.0,,2.0,,497.0,,645.0,,388.0,,784.0,,123.0,,
Leptospirosis**,2017.0,18.0,,-,16.0,,1.0,,73.0,,40.0,,38.0,,,NN,,NN,
"Hemolytic uremic syndrome, postdiarrheal**",2017.0,18.0,,-,56.0,,5.0,,297.0,,274.0,,250.0,,329.0,,274.0,,
Diphtheria,2017.0,18.0,,-,,-,0.0,,,-,,-,1.0,,,-,1.0,,
"Meningococcal disease(Neisseria meningitidis)†††, unknown serogroup",2017.0,18.0,2.0,,72.0,,5.0,,159.0,,120.0,,196.0,,298.0,,260.0,,"TX (1 ), OR (1 )"
Brucellosis,2017.0,18.0,3.0,,29.0,,3.0,,131.0,,126.0,,92.0,,99.0,,114.0,,"MD (1 ), TX (1 ), AZ (1 )"
Yellow fever,2017.0,18.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Marburg fever",2017.0,18.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, other serogroup",2017.0,18.0,,-,4.0,,0.0,,20.0,,21.0,,25.0,,17.0,,20.0,,
"Arboviral diseases¶,** Chikungunya virus disease",2017.0,18.0,,-,7.0,,3.0,,244.0,,896.0,,,NN,,NN,,NN,
Novel influenza A virus infections§§§,2017.0,18.0,1.0,,1.0,,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,TX (1 )
"Hantavirus**, Hantavirus Pulmonary Syndrome (HPS)",2017.0,18.0,,-,2.0,,1.0,,15.0,,21.0,,32.0,,21.0,,30.0,,
"Hantavirus**, Hantavirus infection, non-HPS",2017.0,18.0,,-,,-,0.0,,3.0,,3.0,,,NN,,NN,,NN,
Measles***,2017.0,18.0,1.0,,58.0,,6.0,,81.0,,188.0,,667.0,,187.0,,55.0,,MN (1 )
Trichinellosis**,2017.0,18.0,,-,3.0,,0.0,,25.0,,14.0,,14.0,,22.0,,18.0,,
Hansen's disease**,2017.0,18.0,,-,25.0,,2.0,,76.0,,89.0,,88.0,,81.0,,82.0,,
"Influenza-associated pediatric mortality**,¶¶",2017.0,18.0,2.0,,95.0,,3.0,,83.0,,130.0,,141.0,,160.0,,52.0,,"OH (1 ), TX (1 )"
Typhoid fever (caused by Salmonella typhi),2017.0,18.0,4.0,,85.0,,6.0,,357.0,,367.0,,349.0,,338.0,,354.0,,"MD (1 ), WA (3 )"
Listeriosis,2017.0,18.0,7.0,,161.0,,11.0,,752.0,,768.0,,769.0,,735.0,,727.0,,"ME (1 ), NY (2 ), OH (1 ), WA (3 )"
"Poliomyelitis, paralytic",2017.0,18.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Q fever, total**",2017.0,18.0,1.0,,34.0,,4.0,,162.0,,156.0,,168.0,,170.0,,135.0,,
"Viral hemorrhagic fever****, Machupo hemorrhagic fever",2017.0,18.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
Vancomycin-resistant Staphylococcus aureus**,2017.0,18.0,,-,,-,,-,,-,3.0,,,-,,-,2.0,,
Cholera,2017.0,18.0,,-,,-,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
"Viral hemorrhagic fever****, Lassa fever",2017.0,18.0,,-,,-,,-,,-,1.0,,1.0,,,NP,,NP,
"Hepatitis B, perinatal virus infection§§",2017.0,18.0,,-,4.0,,1.0,,31.0,,37.0,,47.0,,48.0,,40.0,,
"Botulism, infant",2017.0,18.0,1.0,,33.0,,2.0,,143.0,,138.0,,127.0,,136.0,,123.0,,WA (1 )
Smallpox,2017.0,18.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** St. Louis encephalitis virus disease",2017.0,18.0,,-,1.0,,0.0,,8.0,,23.0,,10.0,,1.0,,3.0,,
"Viral hemorrhagic fever****, Lujo virus",2017.0,18.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Polio virus Infection, nonparalytic**",2017.0,18.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Powassan virus disease",2017.0,18.0,,-,,-,0.0,,20.0,,7.0,,8.0,,12.0,,7.0,,
"Viral hemorrhagic fever****, Ebola hemorrhagic fever",2017.0,18.0,,-,,-,,-,,-,,-,4.0,,,NP,,NP,
"Botulism, total",2017.0,18.0,1.0,,38.0,,4.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
"Zika virus disease, non-congenital††††  ",2017.0,18.0,,-,157.0,,19.0,,5057.0,,,NN,,NN,,NN,,NN,
SARS-CoV,2017.0,18.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, serotype b",2017.0,18.0,,-,4.0,,1.0,,24.0,,29.0,,40.0,,31.0,,30.0,,
"Syphilis, congenital¶¶¶",2017.0,18.0,,-,127.0,,7.0,,588.0,,493.0,,458.0,,348.0,,322.0,,
"Q fever, acute**",2017.0,18.0,,-,24.0,,3.0,,130.0,,122.0,,132.0,,137.0,,113.0,,
"Viral hemorrhagic fever****, Junin hemorrhagic fever",2017.0,18.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Haemophilus influenzae invasive disease (age <5 yrs)††, non-b serotype",2017.0,18.0,1.0,,48.0,,1.0,,131.0,,135.0,,266.0,,233.0,,263.0,,TX (1 )
Streptococcal toxic-shock syndrome**,2017.0,18.0,7.0,,97.0,,6.0,,274.0,,335.0,,259.0,,224.0,,194.0,,"ME (2 ), NY (1 ), OH (1 ), VA (1 ), CO (2 )"
Anthrax,2017.0,18.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Arboviral diseases¶,** Western equine encephalitis virus disease",2017.0,18.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Viral hemorrhagic fever****, Guanarito hemorrhagic fever",2017.0,18.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Q fever, chronic**",2017.0,18.0,1.0,,10.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,PA (1 )
"Rabies, human",2017.0,18.0,,-,,-,,-,,-,2.0,,1.0,,2.0,,1.0,,
"Arboviral diseases¶,** La Crosse virus disease",2017.0,18.0,,-,,-,0.0,,36.0,,55.0,,80.0,,85.0,,78.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,18.0,,-,1.0,,,-,14.0,,11.0,,11.0,,22.0,,2.0,,
Toxic-shock syndrome (other than staphylococcal)**,2017.0,18.0,,-,8.0,,1.0,,42.0,,64.0,,59.0,,71.0,,65.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, nontypeable ",2017.0,18.0,,-,43.0,,4.0,,149.0,,175.0,,128.0,,141.0,,115.0,,
Psittacosis**,2017.0,18.0,,-,2.0,,0.0,,12.0,,4.0,,8.0,,6.0,,2.0,,
Vancomycin-intermediate Staphylococcus aureus**,2017.0,18.0,,-,23.0,,4.0,,104.0,,183.0,,212.0,,248.0,,134.0,,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,18.0,3.0,,91.0,,4.0,,236.0,,167.0,,39.0,,34.0,,37.0,,"CO (1 ), AZ (1 ), OR (1 )"
Tularemia,2017.0,18.0,,-,11.0,,4.0,,234.0,,314.0,,180.0,,203.0,,149.0,,
"Botulism, foodborne",2017.0,18.0,,-,1.0,,1.0,,32.0,,37.0,,15.0,,4.0,,27.0,,
Plague,2017.0,18.0,,-,,-,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
"Viral hemorrhagic fever****, Sabia-associated hemorrhagic fever",2017.0,19.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Meningococcal disease (Neisseria meningitidis)†††, serogroup B",2017.0,19.0,1.0,,29.0,,2.0,,74.0,,111.0,,89.0,,99.0,,110.0,,NY (1 )
Anthrax,2017.0,19.0,,-,,-,,-,,-,,-,,-,,-,,-,
Hansen's disease**,2017.0,19.0,1.0,,27.0,,2.0,,76.0,,89.0,,88.0,,81.0,,82.0,,NYC (1 )
"Rabies, human",2017.0,19.0,,-,,-,0.0,,,-,2.0,,1.0,,2.0,,1.0,,
"Arboviral diseases¶,** Jamestown Canyon virus disease",2017.0,19.0,,-,1.0,,0.0,,14.0,,11.0,,11.0,,22.0,,2.0,,
"Meningococcal disease (Neisseria meningitidis)†††, serogroups ACWY",2017.0,19.0,2.0,,26.0,,3.0,,104.0,,120.0,,123.0,,142.0,,161.0,,TX (2 )
"Syphilis, congenital¶¶¶",2017.0,19.0,,-,133.0,,8.0,,599.0,,493.0,,458.0,,348.0,,322.0,,
Plague,2017.0,19.0,,-,1.0,,0.0,,,-,16.0,,10.0,,4.0,,4.0,,
"Poliomyelitis, paralytic",2017.0,19.0,,-,,-,,-,,-,,-,,-,1.0,,,-,
"Haemophilus influenzae invasive disease (age <5 yrs)††, unknown serotype",2017.0,19.0,8.0,,99.0,,4.0,,239.0,,167.0,,39.0,,34.0,,37.0,,"NYC (2 ), OH (1 ), MO (1 ), FL (1 ), TX (2 ), CO (1 )"
"Viral hemorrhagic fever****, Crimean-Congo hemorrhagic fever",2017.0,19.0,,-,,-,,-,,-,,-,,NP,,NP,,NP,
"Influenza-associated pediatric mortality**,¶¶",2017.0,19.0,1.0,,96.0,,2.0,,83.0,,130.0,,141.0,,160.0,,52.0,,GA (1 )
Leptospirosis**,2017.0,19.0,,-,17.0,,0.0,,73.0,,40.0,,38.0,,,NN,,NN,
Measles***,2017.0,19.0,4.0,,72.0,,10.0,,81.0,,188.0,,667.0,,187.0,,55.0,,MN (4 )
Cholera,2017.0,19.0,,-,,-,0.0,,2.0,,5.0,,5.0,,14.0,,17.0,,
"Q fever, chronic**",2017.0,19.0,1.0,,11.0,,1.0,,32.0,,34.0,,36.0,,33.0,,22.0,,KY (1 )
"Zika virus disease, non-congenital††††  ",2017.0,19.0,,-,119.0,,22.0,,5078.0,,,NN,,NN,,NN,,NN,
Novel influenza A virus infections§§§,2017.0,19.0,,-,1.0,,0.0,,23.0,,7.0,,3.0,,21.0,,313.0,,
Smallpox,2017.0,19.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, foodborne",2017.0,19.0,,-,1.0,,0.0,,30.0,,37.0,,15.0,,4.0,,27.0,,
Typhoid fever (caused by Salmonella typhi),2017.0,19.0,4.0,,94.0,,6.0,,357.0,,367.0,,349.0,,338.0,,354.0,,"NY (2 ), NYC (1 ), MD (1 )"
"Polio virus Infection, nonparalytic**",2017.0,19.0,,-,,-,,-,,-,,-,,-,,-,,-,
"Botulism, total",2017.0,19.0,4.0,,41.0,,3.0,,201.0,,195.0,,161.0,,152.0,,168.0,,
SARS-CoV,2017.0,19.0,,-,,-,,-,,-,,-,,-,,-,,-,
